datetime, milliseconds,ActiveExecuteThreadCount,CompletedCount,TotalRequestsCount,CurrentThroughput
2017/11/14 20:23:32,0,10,0,0,0.0
2017/11/14 20:23:33,1001,10,71,41,0.0
2017/11/14 20:23:34,2001,10,127,95,58.5
2017/11/14 20:23:35,3002,10,201,123,58.5
2017/11/14 20:23:36,4002,10,266,160,63.73406648337915
2017/11/14 20:23:37,5004,10,334,194,63.73406648337915
2017/11/14 20:23:38,6004,10,399,219,64.14528490503166
2017/11/14 20:23:39,7005,10,464,247,64.14528490503166
2017/11/14 20:23:40,8006,11,528,294,65.96701649175412
2017/11/14 20:23:41,9007,11,598,327,65.96701649175412
2017/11/14 20:23:42,10007,11,676,341,72.5
2017/11/14 20:23:43,11008,11,756,364,72.5
2017/11/14 20:23:44,12008,12,838,395,80.5
2017/11/14 20:23:45,13009,12,909,425,80.5
2017/11/14 20:23:46,14009,13,993,448,76.46176911544228
2017/11/14 20:23:47,15010,13,1074,471,76.46176911544228
2017/11/14 20:23:48,16011,13,1166,474,85.95702148925537
2017/11/14 20:23:49,17011,13,1247,487,85.95702148925537
2017/11/14 20:23:50,18012,13,1330,499,84.95752123938031
2017/11/14 20:23:51,19012,13,1411,524,84.95752123938031
2017/11/14 20:23:52,20013,14,1500,543,84.0
2017/11/14 20:23:53,21014,14,1595,559,84.0
2017/11/14 20:23:54,22014,14,1687,568,94.5
2017/11/14 20:23:55,23015,14,1775,586,94.5
2017/11/14 20:23:56,24015,14,1861,604,86.4567716141929
2017/11/14 20:23:57,25016,14,1952,615,86.4567716141929
2017/11/14 20:23:58,26016,14,2046,626,92.45377311344328
2017/11/14 20:23:59,27017,14,2146,624,92.45377311344328
2017/11/14 20:24:00,28017,15,2227,636,90.0
2017/11/14 20:24:01,29018,15,2329,643,90.0
2017/11/14 20:24:02,30019,15,2432,631,100.44977511244377
2017/11/14 20:24:03,31019,15,2529,634,100.44977511244377
2017/11/14 20:24:04,32020,16,2630,626,99.95002498750625
2017/11/14 20:24:05,33020,16,2740,617,99.95002498750625
2017/11/14 20:24:06,34020,17,2839,622,105.94702648675663
2017/11/14 20:24:07,35021,17,2954,606,105.94702648675663
2017/11/14 20:24:08,36022,17,3071,593,116.5
2017/11/14 20:24:09,37022,17,3174,593,116.5
2017/11/14 20:24:10,38022,17,3291,586,111.0
2017/11/14 20:24:11,39022,17,3406,576,111.0
2017/11/14 20:24:12,40024,18,3511,584,109.0
2017/11/14 20:24:13,41024,18,3641,557,109.0
2017/11/14 20:24:14,42025,18,3768,526,126.93653173413293
2017/11/14 20:24:15,43026,18,3893,503,126.93653173413293
2017/11/14 20:24:16,44026,19,4023,472,127.936031984008
2017/11/14 20:24:17,45026,19,4157,436,127.936031984008
2017/11/14 20:24:18,46027,19,4280,411,127.0
2017/11/14 20:24:19,47027,19,4398,399,127.0
2017/11/14 20:24:20,48028,19,4530,374,128.43578210894552
2017/11/14 20:24:21,49028,19,4671,329,128.43578210894552
2017/11/14 20:24:22,50028,20,4783,331,125.43728135932034
2017/11/14 20:24:23,51029,20,4906,327,125.43728135932034
2017/11/14 20:24:24,52029,21,5021,312,117.0
2017/11/14 20:24:25,53029,21,5169,265,117.0
2017/11/14 20:24:26,54030,21,5303,246,143.0
2017/11/14 20:24:27,55030,21,5441,211,143.0
2017/11/14 20:24:28,56030,21,5575,186,135.5
2017/11/14 20:24:29,57030,21,5706,164,135.5
2017/11/14 20:24:30,58030,22,5851,124,136.71582104473882
2017/11/14 20:24:31,59031,22,5997,82,136.71582104473882
2017/11/14 20:24:32,60031,23,6140,40,142.92853573213392
2017/11/14 20:24:33,61032,23,6263,17,142.92853573213392
2017/11/14 20:24:34,62032,23,6366,14,120.0
2017/11/14 20:24:35,63032,23,6474,12,120.0
2017/11/14 20:24:36,64032,23,6571,14,100.94952523738131
2017/11/14 20:24:37,65033,23,6671,21,100.94952523738131
2017/11/14 20:24:38,66034,23,6769,16,99.45027486256872
2017/11/14 20:24:39,67035,23,6866,8,99.45027486256872
2017/11/14 20:24:40,68035,23,6965,13,100.5
2017/11/14 20:24:41,69035,23,7072,16,100.5
2017/11/14 20:24:42,70035,23,7184,17,107.5
2017/11/14 20:24:43,71036,23,7291,14,107.5
2017/11/14 20:24:44,72036,23,7395,22,103.9480259870065
2017/11/14 20:24:45,73036,23,7497,15,103.9480259870065
2017/11/14 20:24:46,74036,23,7598,18,104.5
2017/11/14 20:24:47,75037,23,7703,15,104.5
2017/11/14 20:24:48,76038,23,7805,16,103.9480259870065
2017/11/14 20:24:49,77038,23,7905,12,103.9480259870065
2017/11/14 20:24:50,78038,23,8002,14,95.0
