datetime, milliseconds,ActiveExecuteThreadCount,CompletedCount,TotalRequestsCount,CurrentThroughput,CurrentDropRate
2017/11/21 21:57:03,1,10,0,0,0.0,0.0
2017/11/21 21:57:04,1000,10,63,175,0.0,0.0
2017/11/21 21:57:05,2000,10,132,209,56.97151424287856,0.5231481481481481
2017/11/21 21:57:06,3001,10,199,208,56.97151424287856,0.6796116504854368
2017/11/21 21:57:07,4001,10,260,210,65.46726636681659,0.7260869565217392
2017/11/21 21:57:08,5002,10,323,209,65.46726636681659,0.7142857142857143
2017/11/21 21:57:09,6002,11,392,211,65.5,0.641025641025641
2017/11/21 21:57:10,7002,11,458,211,65.5,0.6615384615384615
2017/11/21 21:57:11,8002,11,533,211,70.5,0.6287128712871287
2017/11/21 21:57:12,9002,11,606,211,70.5,0.6237113402061856
2017/11/21 21:57:13,10003,12,681,211,70.96451774112944,0.6105263157894737
2017/11/21 21:57:14,11003,12,766,212,70.96451774112944,0.5634517766497462
2017/11/21 21:57:15,12004,13,852,213,87.0,0.572139303482587
2017/11/21 21:57:16,13004,13,937,213,87.0,0.6171171171171171
2017/11/21 21:57:17,14004,13,1023,211,85.45727136431785,0.6129032258064516
2017/11/21 21:57:18,15004,13,1109,213,85.45727136431785,0.5849056603773585
2017/11/21 21:57:19,16004,14,1202,214,89.5,0.573394495412844
2017/11/21 21:57:20,17005,14,1288,214,89.5,0.5700000000000001
2017/11/21 21:57:21,18006,14,1387,214,91.5,0.4974619289340102
2017/11/21 21:57:22,19007,14,1473,214,91.5,0.5784313725490196
2017/11/21 21:57:23,20007,14,1565,214,87.95602198900549,0.5964912280701755
2017/11/21 21:57:24,21008,14,1656,214,87.95602198900549,0.5747663551401869
2017/11/21 21:57:25,22009,14,1743,212,87.95602198900549,0.602803738317757
2017/11/21 21:57:26,23010,14,1845,214,87.95602198900549,0.48258706467661694
2017/11/21 21:57:27,24010,15,1941,215,101.44927536231884,0.5317073170731708
2017/11/21 21:57:28,25010,15,2046,215,101.44927536231884,0.4878048780487805
2017/11/21 21:57:29,26010,15,2142,214,101.44927536231884,0.5739910313901345
2017/11/21 21:57:30,27010,15,2243,215,101.44927536231884,0.5342465753424658
2017/11/21 21:57:31,28011,16,2356,216,106.0,0.481651376146789
2017/11/21 21:57:32,29012,16,2461,216,106.0,0.4473684210526315
2017/11/21 21:57:33,30013,17,2579,215,108.5,0.4292682926829269
2017/11/21 21:57:34,31014,17,2699,216,108.5,0.3631578947368421
2017/11/21 21:57:35,32014,17,2808,217,116.5,0.4416243654822335
2017/11/21 21:57:36,33015,17,2926,217,116.5,0.43540669856459335
2017/11/21 21:57:37,34016,17,3044,217,114.94252873563218,0.4636363636363636
2017/11/21 21:57:38,35017,17,3159,217,114.94252873563218,0.41624365482233505
2017/11/21 21:57:39,36018,18,3274,218,114.94252873563218,0.460093896713615
2017/11/21 21:57:40,37018,18,3396,215,114.94252873563218,0.42028985507246375
2017/11/21 21:57:41,38018,18,3516,217,120.43978010994503,0.44545454545454544
2017/11/21 21:57:42,39018,18,3641,217,120.43978010994503,0.4075829383886256
2017/11/21 21:57:43,40018,19,3760,219,123.43828085957021,0.4258373205741627
2017/11/21 21:57:44,41019,19,3890,219,123.43828085957021,0.40092165898617516
2017/11/21 21:57:45,42020,19,4025,218,132.43378310844577,0.41484716157205237
2017/11/21 21:57:46,43021,19,4153,217,132.43378310844577,0.39234449760765555
2017/11/21 21:57:47,44022,19,4280,219,126.0,0.397196261682243
2017/11/21 21:57:48,45022,19,4410,219,126.0,0.3701923076923077
2017/11/21 21:57:49,46023,20,4542,219,133.43328335832084,0.32307692307692304
2017/11/21 21:57:50,47023,20,4679,219,133.43328335832084,0.3168316831683168
2017/11/21 21:57:51,48024,20,4813,217,132.43378310844577,0.38139534883720927
2017/11/21 21:57:52,49025,20,4945,218,132.43378310844577,0.39910313901345296
2017/11/21 21:57:53,50025,21,5084,220,135.9320339830085,0.3301435406698564
2017/11/21 21:57:54,51025,21,5221,221,135.9320339830085,0.3459715639810427
2017/11/21 21:57:55,52025,21,5367,220,141.92903548225888,0.34090909090909094
2017/11/21 21:57:56,53025,21,5491,218,141.92903548225888,0.3970588235294118
2017/11/21 21:57:57,54026,22,5636,221,134.5,0.25
2017/11/21 21:57:58,55027,22,5782,221,134.5,0.32568807339449546
2017/11/21 21:57:59,56027,23,5921,222,145.42728635682158,0.35046728971962615
2017/11/21 21:58:00,57028,23,6072,220,145.42728635682158,0.2319587628865979
2017/11/21 21:58:01,58028,24,6213,224,144.5,0.30434782608695654
2017/11/21 21:58:02,59028,24,6387,217,144.5,0.26106194690265483
2017/11/21 21:58:03,60029,25,6550,224,165.5,0.17156862745098034
2017/11/21 21:58:04,61029,25,6728,224,165.5,0.16822429906542058
2017/11/21 21:58:05,62030,26,6894,226,174.4127936031984,0.18137254901960786
2017/11/21 21:58:06,63030,26,7067,225,174.4127936031984,0.17307692307692313
2017/11/21 21:58:07,64031,27,7257,224,176.91154422788605,0.07352941176470584
