datetime, milliseconds,ActiveExecuteThreadCount,CompletedCount,TotalRequestsCount,CurrentThroughput
2017/11/14 15:18:44,0,10,0,0,0.0
2017/11/14 15:18:45,1000,10,63,1010,0.0
2017/11/14 15:18:46,2001,10,135,1010,61.0
2017/11/14 15:18:47,3002,10,200,1010,61.0
2017/11/14 15:18:48,4002,10,268,1010,64.23394151462135
2017/11/14 15:18:49,5003,10,346,1010,64.23394151462135
2017/11/14 15:18:50,6004,11,410,1011,71.0
2017/11/14 15:18:51,7005,11,481,1011,71.0
2017/11/14 15:18:52,8005,11,559,1011,73.46326836581709
2017/11/14 15:18:53,9006,11,633,1011,73.46326836581709
2017/11/14 15:18:54,10006,12,711,1012,77.5
2017/11/14 15:18:55,11007,12,790,1012,77.5
2017/11/14 15:18:56,12007,13,879,1013,82.0
2017/11/14 15:18:57,13007,13,958,1013,82.0
2017/11/14 15:18:58,14007,13,1048,1013,84.5
2017/11/14 15:18:59,15008,13,1134,1013,84.5
2017/11/14 15:19:00,16009,13,1222,1012,88.45577211394303
2017/11/14 15:19:01,17010,13,1307,1013,88.45577211394303
2017/11/14 15:19:02,18010,14,1391,1014,84.0
2017/11/14 15:19:03,19010,14,1484,1014,84.0
2017/11/14 15:19:04,20011,14,1576,1014,93.0
2017/11/14 15:19:05,21012,14,1669,1013,93.0
2017/11/14 15:19:06,22012,14,1762,1014,90.45477261369315
2017/11/14 15:19:07,23012,14,1856,1014,90.45477261369315
2017/11/14 15:19:08,24012,14,1943,1014,92.5
2017/11/14 15:19:09,25012,14,2039,1014,92.5
2017/11/14 15:19:10,26012,15,2138,1015,95.95202398800599
2017/11/14 15:19:11,27012,15,2237,1015,95.95202398800599
2017/11/14 15:19:12,28012,15,2340,1015,103.44827586206897
2017/11/14 15:19:13,29012,15,2439,1015,103.44827586206897
2017/11/14 15:19:14,30012,16,2551,1016,104.0
2017/11/14 15:19:15,31013,16,2654,1016,104.0
2017/11/14 15:19:16,32013,17,2753,1017,102.5
2017/11/14 15:19:17,33013,17,2865,1017,102.5
2017/11/14 15:19:18,34013,17,2987,1017,114.0
2017/11/14 15:19:19,35014,17,3095,1017,114.0
2017/11/14 15:19:20,36014,17,3211,1017,113.94302848575713
2017/11/14 15:19:21,37014,17,3324,1017,113.94302848575713
2017/11/14 15:19:22,38014,18,3434,1018,112.0
2017/11/14 15:19:23,39015,18,3558,1018,112.0
2017/11/14 15:19:24,40016,18,3683,1018,122.93853073463268
2017/11/14 15:19:25,41016,18,3812,1018,122.93853073463268
2017/11/14 15:19:26,42017,19,3931,1019,124.5
2017/11/14 15:19:27,43017,19,4059,1019,124.5
2017/11/14 15:19:28,44017,19,4179,1018,123.5
2017/11/14 15:19:29,45017,19,4308,1019,123.5
2017/11/14 15:19:30,46017,19,4436,1019,128.0
2017/11/14 15:19:31,47017,19,4566,1019,128.0
2017/11/14 15:19:32,48017,20,4695,1019,129.9350324837581
2017/11/14 15:19:33,49018,20,4823,1020,129.9350324837581
2017/11/14 15:19:34,50018,21,4941,1021,125.5
2017/11/14 15:19:35,51018,21,5085,1021,125.5
2017/11/14 15:19:36,52019,21,5227,1021,140.5
2017/11/14 15:19:37,53019,21,5373,1021,140.5
2017/11/14 15:19:38,54020,22,5504,1022,140.42978510744626
2017/11/14 15:19:39,55021,22,5639,1022,140.42978510744626
2017/11/14 15:19:40,56022,23,5763,1023,129.9350324837581
2017/11/14 15:19:41,57022,23,5888,1023,129.9350324837581
2017/11/14 15:19:42,58023,23,6029,1023,131.43428285857073
2017/11/14 15:19:43,59023,23,6153,1023,131.43428285857073
2017/11/14 15:19:44,60023,24,6302,1024,132.9667583104224
2017/11/14 15:19:45,61023,24,6430,1024,132.9667583104224
2017/11/14 15:19:46,62023,25,6547,1025,124.43778110944528
2017/11/14 15:19:47,63024,25,6659,1025,124.43778110944528
2017/11/14 15:19:48,64024,25,6773,1025,111.44427786106947
2017/11/14 15:19:49,65024,25,6888,1025,111.44427786106947
2017/11/14 15:19:50,66024,26,7005,1026,113.9715071232192
2017/11/14 15:19:51,67024,26,7105,1026,113.9715071232192
2017/11/14 15:19:52,68024,26,7207,1026,104.0
2017/11/14 15:19:53,69025,26,7312,1025,104.0
2017/11/14 15:19:54,70026,25,7418,1025,105.47363159210198
2017/11/14 15:19:55,71027,25,7531,1025,105.47363159210198
2017/11/14 15:19:56,72027,24,7645,1024,109.5
2017/11/14 15:19:57,73028,24,7754,1023,109.5
2017/11/14 15:19:58,74028,23,7876,1022,116.5
2017/11/14 15:19:59,75028,23,8015,1023,116.5
2017/11/14 15:20:00,76028,23,8137,1023,132.5
2017/11/14 15:20:01,77028,23,8269,1023,132.5
2017/11/14 15:20:02,78028,23,8412,1023,137.93103448275863
2017/11/14 15:20:03,79028,23,8554,1023,137.93103448275863
2017/11/14 15:20:04,80028,23,8706,1023,146.5
2017/11/14 15:20:05,81029,23,8832,1023,146.5
2017/11/14 15:20:06,82030,23,8969,1023,134.5
2017/11/14 15:20:07,83030,23,9107,1023,134.5
2017/11/14 15:20:08,84031,23,9235,1023,130.93453273363318
2017/11/14 15:20:09,85032,23,9365,1023,130.93453273363318
2017/11/14 15:20:10,86033,22,9509,1022,133.7165708572857
2017/11/14 15:20:11,87034,22,9642,1022,133.7165708572857
2017/11/14 15:20:12,88034,23,9780,1022,135.0
2017/11/14 15:20:13,89035,23,9905,1023,135.0
2017/11/14 15:20:14,90036,23,10046,1023,132.5
2017/11/14 15:20:15,91036,23,10174,1023,132.5
2017/11/14 15:20:16,92036,23,10304,1023,133.0
2017/11/14 15:20:17,93036,23,10439,1023,133.0
2017/11/14 15:20:18,94036,23,10567,1023,132.93353323338332
2017/11/14 15:20:19,95037,23,10700,1023,132.93353323338332
2017/11/14 15:20:20,96037,22,10832,1022,130.0
2017/11/14 15:20:21,97037,22,10973,1021,130.0
2017/11/14 15:20:22,98038,22,11102,1022,137.5
2017/11/14 15:20:23,99038,22,11244,1022,137.5
2017/11/14 15:20:24,100038,21,11377,1021,135.9320339830085
2017/11/14 15:20:25,101038,21,11508,1021,135.9320339830085
2017/11/14 15:20:26,102038,21,11651,1021,137.0
2017/11/14 15:20:27,103038,21,11781,1021,137.0
2017/11/14 15:20:28,104038,21,11915,1021,133.5
2017/11/14 15:20:29,105039,21,12052,1021,133.5
2017/11/14 15:20:30,106039,22,12192,1022,138.43078460769615
2017/11/14 15:20:31,107040,22,12339,1022,138.43078460769615
2017/11/14 15:20:32,108040,21,12468,1021,139.43028485757122
