datetime, milliseconds,ActiveExecuteThreadCount,CompletedCount,TotalRequestsCount,CurrentThroughput,CurrentDropRate
2017/11/22 17:09:38,17,10,0,0,0.0,0.0
2017/11/22 17:09:39,1018,10,78,157,0.0,0.0
2017/11/22 17:09:40,2019,10,149,210,69.46526736631684,0.38916256157635465
2017/11/22 17:09:41,3020,10,228,208,69.46526736631684,0.6169154228855722
2017/11/22 17:09:42,4020,10,291,210,70.5,0.7018348623853211
2017/11/22 17:09:43,5021,10,349,210,70.5,0.727699530516432
2017/11/22 17:09:44,6021,11,417,210,62.4687656171914,0.6968325791855203
2017/11/22 17:09:45,7022,11,493,211,62.4687656171914,0.6333333333333333
2017/11/22 17:09:46,8022,11,572,211,77.0,0.6201923076923077
2017/11/22 17:09:47,9022,11,641,211,77.0,0.6634146341463414
2017/11/22 17:09:48,10023,12,716,211,71.9640179910045,0.6542056074766356
2017/11/22 17:09:49,11024,12,791,211,71.9640179910045,0.6445497630331753
2017/11/22 17:09:50,12025,13,876,213,79.0,0.5742574257425743
2017/11/22 17:09:51,13025,13,954,213,79.0,0.6533333333333333
2017/11/22 17:09:52,14025,13,1039,212,81.45927036481758,0.575
2017/11/22 17:09:53,15026,13,1129,212,81.45927036481758,0.5945945945945945
2017/11/22 17:09:54,16027,13,1208,213,85.0,0.6261682242990654
2017/11/22 17:09:55,17028,13,1283,213,85.0,0.6428571428571428
2017/11/22 17:09:56,18029,14,1370,214,81.0,0.5849056603773585
2017/11/22 17:09:57,19029,14,1455,214,81.0,0.602803738317757
2017/11/22 17:09:58,20030,14,1551,214,89.4552723638181,0.5555555555555556
2017/11/22 17:09:59,21031,14,1654,214,89.4552723638181,0.5617021276595744
2017/11/22 17:10:00,22031,14,1745,213,96.5,0.53125
2017/11/22 17:10:01,23031,14,1836,214,96.5,0.5760368663594471
2017/11/22 17:10:02,24032,14,1928,214,92.5,0.5660377358490566
2017/11/22 17:10:03,25032,14,2022,214,92.5,0.5566037735849056
2017/11/22 17:10:04,26033,15,2116,215,92.95352323838081,0.5586854460093897
2017/11/22 17:10:05,27033,15,2223,215,92.95352323838081,0.49295774647887325
2017/11/22 17:10:06,28034,15,2317,215,102.4487756121939,0.5822222222222222
2017/11/22 17:10:07,29035,15,2413,213,102.4487756121939,0.5627906976744186
2017/11/22 17:10:08,30035,16,2511,216,95.0,0.5305164319248826
2017/11/22 17:10:09,31036,16,2624,215,95.0,0.47926267281105994
2017/11/22 17:10:10,32036,17,2730,217,110.5,0.4729064039408867
2017/11/22 17:10:11,33037,17,2846,216,110.5,0.48198198198198194
